Stadt;Ortsteil;Straße;Zone;Härtegrad;Natrium;Kalium;Calcium;Magnesium;Chlorid;Nitrat;Sulfat;Anmerkungen;Jahresmittelwerte;Quelle
Ilsfeld;Abstetterhof;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Ilsfeld;Auenstein;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Ilsfeld;Helfenberg;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Ilsfeld;Ilsfeld;;;18,1;7,9;2,5;92,5;22,7;28,6;21,3;67,4;;2012;Mischwasser, 60% Bodenseewasser, 40% Eigenwasser
Ilsfeld;Raststätten Wunnenstein;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Ilsfeld;Schozach;;;;;;;;;;;;2012;Reines Bodenseewasser
Ilsfeld;Wüstenhausen;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Ittlingen;;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Jagsthausen;;;;26,2;11;1,5;146;25;25;30,6;165;Info-Text!;2013;100 % Eigenwasser
Kirchardt;;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Kochendorf Hoch/Tiefzone;;;;;;;;;;;;;;
Kochendorf Nord;;;;;;;;;;;;;;
Kochersteinsfeld;;Ahornweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Akazienweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Am Riegelberg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Birkenweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Buchenweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Dürerweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Eichenweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Forststraße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Friedhofstraße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Gartenweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Geisbergstraße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Harnischgasse;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Im Leimental;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Im Vogelsang;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;In den Hofäckern;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Kandinskyweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Kernerweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Lampoldshauser Straße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Lembergerweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Paul-Klee-Weg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Pfahlgasse;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Picassostraße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Rembrandtstraße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Rieslingweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Rubensweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Ruländerweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Schafgrabenweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Schafhausweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Silvanerweg;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Van-Gogh-Straße;Hochzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Kochersteinsfeld;;Bahnhofstraße;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Finkenstraße;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Forststraße;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Gartenweg;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Häldenweg;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Hintere Gasse;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Im Vogelsang;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Keltergasse;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Kirchgasse;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Lerchenstraße;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Mittlere Gasse;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Neuenstadter Straße;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Kochersteinsfeld;;Öhringer Straße;Niederzone;23;15;1,3;120;27;57;30;33;;2013;Eigenwasser
Lampoldshausen;;Brückenstraße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Brunnensteige;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Eichbrunnenweg;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Habergasse;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Hagnerweg;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Im Bistenweiler;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Im Krebsgarten;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Im Weingarten;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Klingenstraße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Kochersteinsfelder Straße ab Nr. 41;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Lamprechtstraße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Möglinger Straße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Schalrainweg;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Schöntaler Straße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Schulstraße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Sonnenweg;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Ziegelsteige;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Züttlinger Straße;Hochzone;21;9,1;1,5;106;25;21;17;27;;2013;Eigenwasser
Lampoldshausen;;Brunnenstraße;Niederzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Lampoldshausen;;Gochsener Straße;Niederzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Lampoldshausen;;Kochersteinsfelder Straße bis Nr. 40;Niederzone;19;8,6;1,1;95;23;19;16;27;;2013;Eigenwasser
Langenbrettach;;;;'18-20;;;;;;;;2mal angefragt;;
Lauffen am Neckar;;;;9;5,2;1,4;48;8;7,1;4,5;35;;2013;Bodenseewasser
Lehrensteinsfeld;;;;9;;;;;;;;2mal angefragt;;
Leingarten;;;;25;13;6,5;128;33;45;27;93;;2013;Mischwasser, 74% Eigenwasser, 26% Bodensee
Löwenstein;Hirrweiler;;;16;k.A.;k.A.;65;31;;6,8;18;;k. A.;k. A.
Löwenstein;Hößlinsülz;;;9;k.A.;k.A.;48;7,7;;4,8 ;36;;k. A.;100 % Bodenseewasser
Löwenstein;Kernstadt;;;14;k.A.;k.A.;59;25;;8;21;Restl. Werte bei Herr Mögerle anfragen 0174 3472501;k. A.;Mischwasser, 60 % Eigenwasser, 40 % Bodenseewasser
Löwenstein;Reißach;;;14;k.A.;k.A.;61;24;;8;30;;k. A.;Mischwasser
